Company,Country,Director,Genre,Title,Runtime,Writer,Year
CBS Entertainment Production,USA,Christopher Cain,Adventure,WheretheRiverRunsBlack,100,Neal Jimenez,1986
DIC Entertainment,Canada,Bruno Bianchi,Family,HeathcliffTheMovie,73,George Gately,1986
AAR Films,USA,Dennis Klein,Comedy,OneMoreSaturdayNight,95,Tom Davis,1986
Act III Communications,USA,Rob Reiner,Adventure,ThePrincessBride,98,William Goldman,1987
Cinemarque Entertainment BV,UK,Clive Barker,Horror,Hellraiser,94,Clive Barker,1987
Natant,UK,Stanley Kubrick,Drama,FullMetalJacket,116,Gustav Hasford,1987
Great American Films Limited Partnership,USA,Emile Ardolino,Drama,DirtyDancing,100,Eleanor Bergstein,1987
Warner Bros.,USA,Joel Schumacher,Comedy,TheLostBoys,97,Jan Fischer,1987
Amercent Films,USA,John McTiernan,Action,Predator,107,Jim Thomas,1987
Braveworld Productions,USA,Paul Michael Glaser,Action,TheRunningMan,101,Stephen King,1987
Brooksfilms,USA,Mel Brooks,Adventure,Spaceballs,96,Mel Brooks,1987
Orion Pictures,USA,Paul Verhoeven,Action,RoboCop,102,Edward Neumeier,1987
Warner Bros.,USA,Richard Donner,Action,LethalWeapon,110,Shane Black,1987
Paramount Pictures,USA,Brian De Palma,Crime,TheUntouchables,119,Oscar Fraley,1987
De Laurentiis Entertainment Group (DEG),USA,Sam Raimi,Comedy,EvilDeadII,84,Sam Raimi,1987
Golan-Globus Productions,USA,Gary Goddard,Action,MastersoftheUniverse,106,David Odell,1987
Home Box Office (HBO),USA,Fred Dekker,Action,TheMonsterSquad,82,Shane Black,1987
Paramount Pictures,USA,Adrian Lyne,Drama,FatalAttraction,119,James Dearden,1987
Eon Productions,UK,John Glen,Action,TheLivingDaylights,130,Richard Maibaum,1987
Twentieth Century Fox Film Corporation,USA,Oliver Stone,Crime,WallStreet,126,Stanley Weiser,1987
Amblin Entertainment,USA,Steven Spielberg,Drama,EmpireoftheSun,153,Tom Stoppard,1987
Apollo Pictures,USA,Steve Rash,Comedy,CantBuyMeLove,94,Michael Swerdlick,1987
Warner Bros.,USA,George Miller,Comedy,TheWitchesofEastwick,118,John Updike,1987
Paramount Pictures,USA,Carl Reiner,Comedy,SummerSchool,97,Stuart Birnbaum,1987
New Line Cinema,USA,Chuck Russell,Action,ANightmareonElmStreet3DreamWarriors,96,Wes Craven,1987
Touchstone Pictures,USA,Chris Columbus,Action,AdventuresinBabysitting,102,David Simkins,1987
